Logging to logs\final
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 2.58e+03     |
| time/                   |              |
|    fps                  | 2796         |
|    iterations           | 12           |
|    time_elapsed         | 1125         |
|    total_timesteps      | 3145728      |
| train/                  |              |
|    approx_kl            | 0.0013951841 |
|    clip_fraction        | 0.0169       |
|    clip_range           | 0.146        |
|    entropy_loss         | -0.0421      |
|    explained_variance   | 0.701        |
|    learning_rate        | 0.000243     |
|    loss                 | 0.0545       |
|    n_updates            | 5900         |
|    policy_gradient_loss | 0.000731     |
|    reward               | 2.5          |
|    value_loss           | 0.0334       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.21e+04     |
|    ep_rew_mean          | 2.73e+03     |
| time/                   |              |
|    fps                  | 2783         |
|    iterations           | 13           |
|    time_elapsed         | 1224         |
|    total_timesteps      | 3407872      |
| train/                  |              |
|    approx_kl            | 0.0016949566 |
|    clip_fraction        | 0.0181       |
|    clip_range           | 0.146        |
|    entropy_loss         | -0.0427      |
|    explained_variance   | 0.563        |
|    learning_rate        | 0.000242     |
|    loss                 | -0.00362     |
|    n_updates            | 5910         |
|    policy_gradient_loss | 0.000583     |
|    reward               | 1.6          |
|    value_loss           | 0.0559       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.42e+04    |
|    ep_rew_mean          | 3e+03       |
| time/                   |             |
|    fps                  | 2770        |
|    iterations           | 14          |
|    time_elapsed         | 1324        |
|    total_timesteps      | 3670016     |
| train/                  |             |
|    approx_kl            | 0.001896282 |
|    clip_fraction        | 0.0189      |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.0415     |
|    explained_variance   | 0.654       |
|    learning_rate        | 0.000242    |
|    loss                 | 0.00221     |
|    n_updates            | 5920        |
|    policy_gradient_loss | 0.000466    |
|    reward               | 2.5         |
|    value_loss           | 0.0397      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.59e+04     |
|    ep_rew_mean          | 3.2e+03      |
| time/                   |              |
|    fps                  | 2763         |
|    iterations           | 15           |
|    time_elapsed         | 1423         |
|    total_timesteps      | 3932160      |
| train/                  |              |
|    approx_kl            | 0.0021855026 |
|    clip_fraction        | 0.0198       |
|    clip_range           | 0.145        |
|    entropy_loss         | -0.0405      |
|    explained_variance   | 0.69         |
|    learning_rate        | 0.000241     |
|    loss                 | 0.00218      |
|    n_updates            | 5930         |
|    policy_gradient_loss | 0.000393     |
|    reward               | 2.5          |
|    value_loss           | 0.0336       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.62e+04     |
|    ep_rew_mean          | 3.24e+03     |
| time/                   |              |
|    fps                  | 2756         |
|    iterations           | 16           |
|    time_elapsed         | 1521         |
|    total_timesteps      | 4194304      |
| train/                  |              |
|    approx_kl            | 0.0014764233 |
|    clip_fraction        | 0.0179       |
|    clip_range           | 0.145        |
|    entropy_loss         | -0.0389      |
|    explained_variance   | 0.707        |
|    learning_rate        | 0.00024      |
|    loss                 | 0.000866     |
|    n_updates            | 5940         |
|    policy_gradient_loss | 0.000339     |
|    reward               | 1.6          |
|    value_loss           | 0.029        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.81e+04     |
|    ep_rew_mean          | 3.48e+03     |
| time/                   |              |
|    fps                  | 2750         |
|    iterations           | 17           |
|    time_elapsed         | 1619         |
|    total_timesteps      | 4456448      |
| train/                  |              |
|    approx_kl            | 0.0013979933 |
|    clip_fraction        | 0.0169       |
|    clip_range           | 0.145        |
|    entropy_loss         | -0.0392      |
|    explained_variance   | 0.843        |
|    learning_rate        | 0.00024      |
|    loss                 | -0.00112     |
|    n_updates            | 5950         |
|    policy_gradient_loss | 0.000562     |
|    reward               | 1.6          |
|    value_loss           | 0.0132       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.96e+04     |
|    ep_rew_mean          | 3.67e+03     |
| time/                   |              |
|    fps                  | 2744         |
|    iterations           | 18           |
|    time_elapsed         | 1719         |
|    total_timesteps      | 4718592      |
| train/                  |              |
|    approx_kl            | 0.0018233659 |
|    clip_fraction        | 0.0181       |
|    clip_range           | 0.144        |
|    entropy_loss         | -0.0392      |
|    explained_variance   | 0.718        |
|    learning_rate        | 0.000239     |
|    loss                 | -0.000445    |
|    n_updates            | 5960         |
|    policy_gradient_loss | 0.000499     |
|    reward               | 2.5          |
|    value_loss           | 0.0344       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.99e+04     |
|    ep_rew_mean          | 3.7e+03      |
| time/                   |              |
|    fps                  | 2739         |
|    iterations           | 19           |
|    time_elapsed         | 1818         |
|    total_timesteps      | 4980736      |
| train/                  |              |
|    approx_kl            | 0.0019547292 |
|    clip_fraction        | 0.0194       |
|    clip_range           | 0.144        |
|    entropy_loss         | -0.0385      |
|    explained_variance   | 0.589        |
|    learning_rate        | 0.000238     |
|    loss                 | 0.00291      |
|    n_updates            | 5970         |
|    policy_gradient_loss | 0.000647     |
|    reward               | 1.6          |
|    value_loss           | 0.0449       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3.14e+04     |
|    ep_rew_mean          | 3.89e+03     |
| time/                   |              |
|    fps                  | 2733         |
|    iterations           | 20           |
|    time_elapsed         | 1918         |
|    total_timesteps      | 5242880      |
| train/                  |              |
|    approx_kl            | 0.0025178837 |
|    clip_fraction        | 0.0214       |
|    clip_range           | 0.144        |
|    entropy_loss         | -0.0402      |
|    explained_variance   | 0.615        |
|    learning_rate        | 0.000238     |
|    loss                 | 0.0206       |
|    n_updates            | 5980         |
|    policy_gradient_loss | 0.000931     |
|    reward               | 1.6          |
|    value_loss           | 0.0603       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3.24e+04     |
|    ep_rew_mean          | 4.01e+03     |
| time/                   |              |
|    fps                  | 2727         |
|    iterations           | 21           |
|    time_elapsed         | 2018         |
|    total_timesteps      | 5505024      |
| train/                  |              |
|    approx_kl            | 0.0017533324 |
|    clip_fraction        | 0.0192       |
|    clip_range           | 0.143        |
|    entropy_loss         | -0.0373      |
|    explained_variance   | 0.811        |
|    learning_rate        | 0.000237     |
|    loss                 | 0.0436       |
|    n_updates            | 5990         |
|    policy_gradient_loss | 0.000366     |
|    reward               | 2.5          |
|    value_loss           | 0.0231       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3.38e+04     |
|    ep_rew_mean          | 4.19e+03     |
| time/                   |              |
|    fps                  | 2724         |
|    iterations           | 22           |
|    time_elapsed         | 2117         |
|    total_timesteps      | 5767168      |
| train/                  |              |
|    approx_kl            | 0.0015490272 |
|    clip_fraction        | 0.0171       |
|    clip_range           | 0.143        |
|    entropy_loss         | -0.0392      |
|    explained_variance   | 0.675        |
|    learning_rate        | 0.000236     |
|    loss                 | 0.0037       |
|    n_updates            | 6000         |
|    policy_gradient_loss | 0.000691     |
|    reward               | 1.6          |
|    value_loss           | 0.0287       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3.5e+04      |
|    ep_rew_mean          | 4.33e+03     |
| time/                   |              |
|    fps                  | 2707         |
|    iterations           | 23           |
|    time_elapsed         | 2227         |
|    total_timesteps      | 6029312      |
| train/                  |              |
|    approx_kl            | 0.0013036595 |
|    clip_fraction        | 0.0157       |
|    clip_range           | 0.143        |
|    entropy_loss         | -0.0369      |
|    explained_variance   | 0.845        |
|    learning_rate        | 0.000236     |
|    loss                 | 0.00559      |
|    n_updates            | 6010         |
|    policy_gradient_loss | 0.000529     |
|    reward               | 1.6          |
|    value_loss           | 0.00999      |
------------------------------------------
